id,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Outage_Risk
70,,307.4,1465.96,33.9,193.0,630.17,1
71,,307.8,1368.1,39.9,175.0,543.5,1
72,301.5,311.0,1426.98,39.7,118.0,473.32,0
73,299.7,309.2,1503.61,,203.0,688.23,1
74,304.0,313.3,1348.86,34.8,211.0,513.88,0
75,298.8,308.6,1336.77,42.3,,512.71,1
76,,310.8,1499.22,33.4,62.0,573.26,0
77,300.5,311.9,1398.56,44.5,30.0,589.66,0
78,301.8,310.8,1395.12,,190.0,652.97,1
79,296.1,307.1,1460.16,35.7,167.0,397.14,0
80,302.4,311.8,1149.93,59.0,138.0,472.31,0
81,298.8,309.7,1370.9,63.4,37.0,520.22,0
82,302.3,311.8,1417.4,42.8,215.0,566.99,1
83,300.3,309.5,1192.41,62.2,142.0,507.42,0
84,300.7,310.5,1322.39,43.1,134.0,498.01,0
85,300.3,311.9,1499.23,30.8,48.0,674.71,0
86,299.0,,1396.7,34.3,132.0,657.95,0
87,301.4,310.4,1301.56,43.4,86.0,356.71,1
88,300.9,310.4,1315.63,43.8,,452.97,1
89,303.6,312.3,1911.09,17.7,219.0,830.42,1
90,301.6,310.8,1245.16,42.4,3.0,528.57,0
91,297.9,307.5,1327.78,23.3,146.0,691.54,0
92,302.5,311.5,1463.11,36.0,44.0,680.02,0
93,302.5,310.4,1271.64,48.2,117.0,448.71,0
94,298.1,308.5,1263.92,51.1,116.0,518.82,0
95,298.3,308.1,1427.02,35.5,,535.43,1
96,300.7,310.2,1291.35,35.9,10.0,562.82,0
97,303.3,312.1,1301.57,44.7,83.0,453.7,1
98,298.6,308.4,1336.92,42.9,38.0,501.04,0
99,301.3,310.7,1571.04,24.3,174.0,641.64,0
100,298.3,308.6,1291.82,49.5,91.0,591.66,0
101,300.7,,1264.79,45.3,48.0,462.32,1
102,300.6,,1409.72,35.7,117.0,556.39,1
103,297.4,308.5,1225.47,,43.0,320.77,0
104,298.6,309.3,1370.24,40.8,177.0,491.28,0
105,301.9,311.0,1524.52,29.9,,607.77,1
106,297.8,307.4,1330.24,36.1,57.0,473.73,0
107,299.9,309.5,1597.71,23.5,167.0,806.39,1
108,303.3,312.1,1538.37,30.0,80.0,559.15,0
109,,310.3,1383.06,36.3,,487.34,0
110,301.3,,1360.0,39.5,27.0,638.6,0
111,301.0,312.2,1465.54,32.6,69.0,727.24,0
112,301.2,312.3,1352.63,38.4,85.0,450.16,0
113,300.0,309.6,1564.0,28.7,94.0,434.6,1
114,,309.4,1348.57,42.2,198.0,454.24,0
115,303.4,312.3,1523.11,33.9,78.0,377.24,1
116,300.7,309.5,1540.85,26.7,108.0,653.94,1
117,301.8,310.7,1289.37,49.3,58.0,399.5,0
118,296.8,307.5,1373.26,36.7,135.0,494.17,0
119,298.0,308.3,1269.49,56.2,218.0,647.13,0
120,300.0,309.6,1466.6,32.3,89.0,599.96,1
121,298.3,308.0,1577.16,26.0,96.0,539.0,0
122,301.3,310.7,1629.05,25.5,46.0,701.82,1
123,297.4,308.6,1287.69,45.8,,569.93,0
124,302.7,312.2,1284.7,42.5,,542.67,0
125,298.4,308.5,1654.48,24.3,153.0,665.53,0
126,302.6,310.5,1375.7,37.2,197.0,686.71,0
127,298.8,310.5,1224.72,52.8,200.0,484.16,1
128,300.7,310.8,1554.62,30.0,,558.44,0
129,298.3,308.0,1335.42,42.3,86.0,482.44,0
130,,308.7,1243.31,41.7,81.0,388.59,0
131,300.5,309.3,1409.71,39.1,216.0,544.62,0
132,303.4,311.7,1519.16,32.2,166.0,684.3,0
133,298.0,308.6,1373.19,37.3,217.0,517.53,0
134,,311.0,1540.8,,19.0,588.01,0
135,302.0,310.6,1197.31,46.7,182.0,548.05,0
136,300.9,311.5,1352.47,41.1,129.0,385.45,1
137,298.8,309.1,1361.46,46.3,133.0,519.71,1
138,302.4,311.8,1349.93,38.4,132.0,563.63,1
139,302.2,310.7,1606.89,24.9,91.0,548.32,0
140,301.0,310.1,1507.87,27.4,212.0,507.48,1
141,296.3,307.4,1282.81,47.1,215.0,649.77,0
142,,308.6,1281.62,46.4,114.0,473.79,0
143,295.7,306.4,1276.67,40.1,81.0,424.06,0
144,303.0,311.1,1397.32,40.7,179.0,509.18,1
145,301.7,309.8,1363.26,39.3,114.0,619.88,1
146,297.5,308.5,1552.2,30.1,40.0,563.28,0
147,300.4,312.0,1343.03,43.0,117.0,704.59,0
148,297.1,308.4,1309.26,,146.0,572.46,0
149,,310.9,1354.13,32.3,11.0,496.81,0
150,298.8,309.7,1232.2,58.6,123.0,691.46,0
151,300.0,309.3,1358.9,16.3,170.0,523.65,0
152,302.3,311.3,1312.7,44.5,83.0,480.75,0
153,302.6,310.6,1394.78,37.5,199.0,445.49,0
154,301.8,311.1,1272.68,,125.0,607.35,0
155,298.2,308.3,1288.85,,132.0,646.18,0
156,302.3,310.9,1453.09,33.5,104.0,529.56,0
157,300.6,309.5,1379.32,39.0,142.0,630.48,0
158,301.4,310.6,1460.37,30.3,2.0,640.15,1
159,297.9,307.9,1201.47,54.4,82.0,482.18,0
160,297.5,308.4,1461.28,38.1,106.0,694.11,1
161,300.6,310.0,1343.22,44.0,97.0,384.87,0
162,299.0,310.2,1176.16,57.2,10.0,495.72,0
163,299.2,308.7,1367.71,,196.0,674.89,0
164,304.3,313.4,1472.49,32.1,53.0,677.42,1
165,,308.3,1207.5,51.9,51.0,481.01,0
166,297.2,308.1,1559.07,27.2,140.0,519.39,0
167,297.5,,1281.33,35.9,13.0,384.64,0
168,301.7,309.9,1184.86,,187.0,307.54,0
169,302.3,311.3,1324.09,43.1,115.0,742.96,0
170,298.1,307.7,1219.63,56.2,113.0,677.54,0
171,297.1,307.8,1459.34,,90.0,528.12,0
172,298.3,308.5,1413.95,41.2,105.0,525.97,0
173,304.2,313.3,1460.85,37.3,27.0,597.81,0
174,301.5,310.5,1513.48,28.7,135.0,655.79,1
175,299.1,309.4,1646.52,24.6,77.0,600.96,1
176,298.9,310.2,1385.47,37.7,166.0,524.1,0
177,296.9,308.4,1262.15,,184.0,678.12,0
178,298.7,309.8,1383.22,35.5,0.0,455.8,0
179,300.7,309.5,1239.5,43.9,81.0,484.95,0
180,300.7,310.7,1299.4,43.4,80.0,542.08,0
181,,312.2,1363.9,40.0,50.0,580.01,1
182,299.3,309.0,1290.26,47.3,25.0,521.58,0
183,298.5,309.4,1448.9,,71.0,604.06,1
184,300.0,309.6,1340.91,38.8,27.0,624.2,0
185,301.5,310.6,1297.37,41.9,140.0,441.34,0
186,,309.1,1204.72,52.5,111.0,552.49,0
187,298.2,308.3,1842.35,19.2,90.0,840.62,1
188,303.0,311.1,1337.4,43.0,,377.51,1
189,298.2,308.1,1252.36,62.3,149.0,408.82,0
190,302.3,,1392.72,43.8,,471.76,0
191,299.0,308.7,1360.9,37.5,134.0,496.47,0
192,301.0,311.6,1338.29,43.3,131.0,264.84,0
193,300.6,311.7,1275.93,52.6,208.0,537.09,0
194,297.3,308.5,1337.12,,27.0,500.28,0
195,300.6,,1304.73,49.7,155.0,575.03,0
196,300.7,310.7,1288.47,43.4,26.0,601.26,0
197,300.5,309.6,1345.78,48.4,194.0,632.21,1
198,298.6,309.1,1283.5,44.3,29.0,399.72,0
199,302.3,311.2,1698.03,22.9,55.0,607.95,1
200,299.7,309.6,1278.73,45.1,,594.81,0
201,297.6,308.6,1330.25,35.5,88.0,533.07,0
202,297.9,307.8,1342.31,37.5,78.0,544.98,1
203,301.9,310.4,1459.16,34.8,71.0,520.73,0
204,300.3,311.1,1311.02,44.2,166.0,660.43,0
205,299.0,,1608.91,22.2,192.0,692.0,0
206,301.3,310.0,1490.43,31.4,0.0,633.06,0
207,,310.9,1333.76,37.9,86.0,589.25,0
208,300.0,309.3,1744.04,21.8,135.0,799.26,1
209,304.4,313.6,1350.77,39.1,0.0,452.62,1
210,302.6,,1420.27,33.0,15.0,534.02,0
211,302.0,310.6,1175.12,55.3,192.0,401.11,0
212,302.5,311.6,1272.15,54.0,196.0,542.55,0
213,297.2,308.3,1458.13,39.4,9.0,629.8,0
214,297.7,307.4,1492.61,36.5,55.0,511.56,0
215,300.0,311.5,1309.23,41.6,81.0,421.04,0
216,298.8,,1353.69,42.1,30.0,654.79,0
217,301.9,310.9,1343.81,40.3,6.0,394.76,0
218,301.2,309.9,1365.19,52.4,13.0,490.47,0
219,300.3,309.6,1326.71,,179.0,489.97,1
220,300.5,309.9,1339.66,37.4,175.0,670.0,0
221,301.5,311.0,1313.21,42.6,109.0,542.54,0
222,298.9,308.7,1203.87,50.7,185.0,258.42,0
223,297.4,308.4,1390.14,35.0,105.0,449.84,0
224,302.0,311.3,1421.09,41.1,26.0,511.91,0
225,297.8,307.9,1456.12,33.5,13.0,712.55,0
226,301.7,310.5,1465.34,35.9,121.0,518.4,0
227,301.4,310.8,1231.52,53.2,4.0,368.23,0
228,298.7,309.7,1442.9,35.7,176.0,520.7,0
229,297.2,,1313.06,47.9,188.0,540.79,1
230,303.3,312.7,1355.26,30.7,142.0,577.33,0
231,300.6,309.6,1294.14,41.6,140.0,484.14,0
232,300.8,310.2,1666.18,22.8,33.0,693.24,1
233,,311.7,1307.36,47.7,22.0,578.73,1
234,298.4,,1253.83,43.2,119.0,552.75,0
235,300.9,311.1,1362.77,37.7,133.0,764.03,0
236,299.5,310.7,1259.72,,0.0,449.72,0
237,300.8,,1288.74,45.5,16.0,524.88,0
238,,309.0,1327.69,45.8,80.0,542.22,0
239,300.5,309.9,1606.55,26.5,101.0,484.06,0
240,297.6,308.7,1177.68,50.9,141.0,468.8,0
241,297.1,308.4,1383.46,31.9,2.0,593.07,0
242,296.9,307.9,1301.81,43.9,149.0,604.44,0
243,,311.0,1247.33,51.1,190.0,280.18,0
244,299.8,309.0,1425.13,,95.0,692.8,1
245,299.8,309.3,1428.33,32.1,183.0,676.2,1
246,299.2,309.9,1373.37,41.4,219.0,562.03,0
247,301.1,310.6,1257.83,43.9,,472.02,1
248,300.6,310.4,1380.56,,124.0,433.84,1
249,297.4,308.6,1302.36,,88.0,446.09,0
250,296.7,307.8,1264.28,,3.0,377.28,0
251,,309.0,1347.69,35.3,47.0,512.35,0
252,299.9,309.5,1614.59,26.1,169.0,565.97,1
253,,310.8,1236.74,47.3,22.0,485.61,0
254,302.2,310.9,1290.66,48.4,185.0,701.26,0
255,300.0,309.6,1289.8,47.7,39.0,423.86,0
256,299.1,308.4,1181.9,51.7,71.0,550.29,0
257,298.8,309.6,1374.09,40.2,152.0,685.83,0
258,303.9,313.0,1245.75,,10.0,588.63,0
259,301.5,310.7,1613.13,26.2,8.0,671.24,1
260,301.0,312.2,1340.2,40.3,117.0,417.37,0
261,298.8,310.1,1431.02,31.3,147.0,586.44,0
262,301.4,310.4,1295.48,50.9,178.0,685.44,0
263,298.5,307.9,1506.74,33.1,146.0,614.13,0
264,298.7,,1386.84,33.4,2.0,557.08,0
265,298.0,309.5,1322.65,45.8,46.0,544.64,0
266,300.0,,1456.92,33.5,135.0,522.62,0
267,299.0,310.3,1374.94,38.1,182.0,596.85,0
268,299.2,310.4,1299.41,43.3,32.0,403.12,0
269,300.4,309.6,1499.31,,164.0,619.62,0
270,301.5,310.4,1314.16,39.9,,469.44,0
271,,310.7,1224.54,48.1,198.0,484.64,0
272,297.8,307.8,1418.93,43.7,8.0,859.43,1
273,297.2,307.9,1293.47,40.0,195.0,608.02,0
274,300.5,311.4,1603.48,27.6,46.0,586.45,0
275,297.4,308.1,1280.93,45.7,110.0,268.05,0
276,300.8,310.3,1365.37,46.6,19.0,688.5,0
277,302.4,310.9,1337.24,41.6,124.0,594.83,0
278,298.3,309.0,1204.84,58.8,35.0,531.58,0
279,300.7,,1252.45,50.3,137.0,398.02,1
280,298.0,309.0,1251.15,49.1,85.0,423.15,0
281,297.5,308.6,1364.76,39.0,202.0,491.95,1
282,299.0,310.4,1458.33,31.1,134.0,598.34,1
283,298.9,308.7,1382.04,43.4,114.0,616.6,0
284,298.5,309.6,1274.62,53.6,122.0,496.59,0
285,298.6,309.9,1433.62,37.4,47.0,636.05,0
286,298.3,308.5,1377.94,32.2,173.0,561.67,0
287,300.7,311.3,1229.97,53.1,66.0,625.12,0
288,301.9,310.9,1636.89,24.2,54.0,592.94,0
289,299.2,308.5,1366.04,39.8,141.0,504.51,0
290,297.3,308.7,1326.07,,105.0,385.13,1
291,302.6,310.5,1278.09,56.4,57.0,589.66,0
292,300.4,311.6,1347.71,36.4,53.0,511.67,0
293,303.6,312.5,1439.16,33.7,14.0,487.41,0
294,301.3,310.3,1278.25,44.3,47.0,584.79,1
295,301.7,310.1,1517.7,27.3,210.0,566.67,1
296,300.6,309.4,1215.3,63.2,45.0,456.17,0
297,300.7,310.3,1441.59,36.0,14.0,647.98,0
298,298.7,309.6,1351.22,42.7,180.0,684.31,0
299,296.9,307.8,1660.82,24.6,157.0,734.17,1
300,300.4,309.5,1218.42,50.4,30.0,455.27,0
301,296.2,307.1,1336.44,46.7,,593.57,0
302,298.7,,1241.58,45.7,143.0,345.52,0
303,299.6,310.9,1317.98,,,743.05,0
304,299.4,308.7,1140.55,60.5,104.0,531.57,1
305,298.9,309.9,1241.97,51.0,,543.51,0
306,299.8,309.0,1320.74,37.3,193.0,427.31,0
307,300.8,310.2,1358.31,40.0,155.0,478.62,0
308,302.1,311.5,1317.49,45.4,111.0,551.06,0
309,299.1,308.3,1358.02,38.0,125.0,430.97,1
310,297.5,308.8,1371.26,37.8,157.0,492.36,1
311,302.7,312.2,1407.2,34.4,228.0,699.12,0
312,303.6,312.3,1489.08,32.4,223.0,611.86,0
313,300.1,309.4,1448.73,47.7,26.0,608.06,0
314,296.8,307.9,1556.6,25.2,148.0,653.67,0
315,298.0,308.1,1627.05,23.4,78.0,561.78,0
316,298.5,308.7,1421.99,33.9,128.0,629.32,1
317,298.2,308.4,1327.3,42.9,183.0,650.29,1
318,299.2,308.4,1268.76,48.4,35.0,479.91,0
319,,,1260.33,51.4,168.0,445.72,1
320,297.9,307.7,1329.83,43.7,59.0,591.68,0
321,,310.9,1318.4,46.3,196.0,581.02,0
322,299.3,309.1,1249.82,46.7,49.0,542.09,0
323,297.3,308.3,1359.44,36.3,45.0,409.89,1
324,299.7,311.1,1410.12,36.4,135.0,521.11,0
325,301.9,310.5,1195.32,55.7,204.0,465.95,0
326,297.9,309.0,1781.4,21.6,37.0,636.48,0
327,300.5,310.6,1230.35,49.6,10.0,477.56,0
328,299.8,311.1,1443.29,38.0,183.0,454.12,1
329,300.7,,1303.99,49.9,0.0,463.12,0
330,303.6,312.8,1508.17,33.1,16.0,542.66,0
331,301.1,310.8,1583.43,25.8,121.0,743.01,1
332,297.7,308.7,1322.0,46.8,188.0,474.32,0
333,301.0,310.7,1564.4,34.5,127.0,614.94,1
334,302.2,310.7,1397.67,36.4,100.0,611.04,0
335,303.5,312.4,1352.34,,20.0,628.66,0
336,302.8,310.9,1461.75,35.0,38.0,685.94,1
337,299.1,308.3,1689.45,25.2,34.0,730.83,1
338,298.6,309.5,1412.14,36.7,182.0,650.52,0
339,297.8,309.2,1288.28,56.9,34.0,514.74,0
340,301.7,311.3,1435.53,38.8,132.0,426.92,1
341,301.5,310.7,1427.8,40.4,72.0,540.46,0
342,298.5,309.4,1281.81,45.1,148.0,517.95,0
343,302.3,310.7,1359.88,39.7,141.0,436.06,1
344,302.1,311.2,1273.82,48.0,13.0,484.25,1
345,298.6,309.6,1310.53,39.1,14.0,635.76,0
346,298.9,310.0,1627.51,27.2,114.0,635.41,1
347,298.5,309.7,1405.25,35.3,208.0,593.56,1
348,298.0,,1186.89,50.8,170.0,633.46,0
349,301.5,310.7,1200.82,47.9,29.0,482.23,0
350,299.0,310.0,1515.61,33.2,,654.08,0
351,301.6,310.4,1299.82,45.7,164.0,679.99,1
352,299.1,310.6,1192.53,49.7,78.0,500.98,0
353,303.9,313.0,1288.75,39.9,176.0,382.17,0
354,300.6,310.4,1237.51,51.1,157.0,648.04,0
355,300.5,309.3,1253.41,51.5,231.0,493.58,0
356,297.7,308.4,1379.79,51.3,82.0,476.1,0
357,296.7,307.9,1274.52,50.1,138.0,604.67,0
358,300.8,311.0,1415.47,36.6,109.0,520.8,1
359,298.9,310.1,1770.51,23.4,192.0,735.16,1
360,302.3,311.0,1285.32,47.9,174.0,551.78,0
361,302.3,311.7,1364.47,37.3,107.0,518.0,0
362,297.8,307.8,1457.63,32.1,18.0,545.6,0
363,301.1,,1421.23,36.8,7.0,793.55,1
364,300.5,311.6,1105.32,52.9,165.0,550.26,0
365,301.1,310.5,1377.64,38.7,91.0,595.56,0
366,295.9,306.6,1277.93,50.2,51.0,596.08,0
367,298.1,307.6,1349.59,42.9,171.0,574.89,0
368,,309.3,1366.54,37.0,221.0,498.04,0
369,302.7,311.0,1505.23,29.8,150.0,679.77,0
370,300.1,309.4,1234.55,56.2,127.0,360.1,0
371,300.4,309.6,1410.0,43.9,75.0,644.61,0
372,301.9,311.1,1304.1,52.5,171.0,537.61,0
373,299.4,308.8,1249.38,57.0,92.0,512.99,0
374,298.9,309.0,1725.03,22.6,193.0,864.2,1
375,300.1,309.7,1292.43,40.1,46.0,431.76,0
376,298.1,308.0,1396.43,41.9,73.0,544.09,0
377,297.7,309.6,1550.1,32.2,210.0,389.95,1
378,297.4,309.2,1286.41,37.9,191.0,508.41,0
379,,309.9,1287.85,43.4,100.0,430.15,0
380,298.5,309.4,1501.83,31.8,108.0,700.3,1
381,,312.2,1444.6,35.9,67.0,632.95,1
382,302.2,311.4,1470.58,31.6,62.0,535.33,1
383,302.3,311.4,1289.19,45.6,59.0,602.99,0
384,300.2,311.5,1493.74,31.1,31.0,523.52,0
385,299.0,308.6,1298.7,,126.0,433.81,0
386,297.7,307.3,1135.91,62.8,47.0,483.84,0
387,298.6,309.5,1514.77,29.3,47.0,503.56,0
388,300.5,311.5,1319.39,43.0,78.0,637.64,1
389,300.2,,1323.45,47.3,172.0,472.01,0
390,301.5,310.3,1289.71,41.6,28.0,597.76,1
391,299.6,308.9,1419.38,,77.0,553.64,0
392,301.0,311.0,1270.71,55.3,98.0,659.14,0
393,299.5,310.8,1163.0,52.4,112.0,387.73,0
394,298.6,310.0,1411.71,,12.0,617.94,0
395,300.2,311.5,1282.28,,73.0,460.61,0
396,296.8,308.0,1325.61,51.0,24.0,385.32,0
397,301.1,310.5,1390.85,35.8,81.0,503.48,1
398,302.3,311.0,1408.85,35.5,70.0,490.63,0
399,301.3,311.0,1454.91,30.4,151.0,494.11,0
400,297.4,309.2,1343.74,45.6,193.0,556.99,1
401,301.5,309.8,1395.64,38.5,81.0,405.1,0
402,300.2,311.0,2131.87,14.7,144.0,790.21,1
403,299.9,,1444.33,36.7,118.0,536.45,1
404,298.5,309.2,1305.91,46.4,83.0,333.06,0
405,297.4,309.0,1358.91,41.8,144.0,567.06,0
406,298.8,308.6,1429.84,35.1,52.0,603.9,0
407,301.1,310.7,1387.46,40.7,2.0,608.54,0
408,298.0,307.6,1374.87,,89.0,578.41,0
409,302.1,310.7,1171.42,52.8,8.0,424.03,0
410,298.5,,1236.73,47.3,47.0,378.64,0
411,302.3,311.6,1273.37,49.1,119.0,696.9,1
412,298.7,309.8,1512.55,29.0,145.0,546.41,1
413,302.6,310.4,1514.01,30.1,62.0,569.05,1
414,,310.5,1558.22,33.0,171.0,621.77,1
415,297.2,308.5,1385.29,41.5,125.0,702.73,0
416,298.9,308.5,1326.86,44.7,136.0,655.38,1
417,300.2,311.7,1334.08,48.3,167.0,724.91,1
418,297.6,309.4,1471.12,33.4,229.0,469.51,1
419,300.2,309.0,1464.99,31.2,37.0,637.41,1
420,300.4,310.0,1162.52,,40.0,501.73,0
421,299.2,310.3,1351.19,41.3,158.0,617.81,0
422,302.6,312.2,1525.78,27.1,,510.74,0
423,303.7,312.7,1300.58,45.5,192.0,574.03,0
424,300.4,311.6,1341.89,39.0,45.0,515.33,0
425,300.0,309.5,1364.8,38.8,87.0,578.85,0
426,303.8,312.5,1457.36,30.9,142.0,590.7,0
427,296.1,307.1,1291.37,38.5,14.0,544.54,1
428,302.6,312.3,1365.43,,58.0,506.1,1
429,299.6,309.2,1443.18,33.3,33.0,431.02,0
430,301.7,310.1,1509.26,29.3,72.0,652.56,1
431,300.6,310.7,1337.48,48.5,78.0,537.43,0
432,301.6,310.7,1582.15,23.8,81.0,754.41,1
433,302.5,311.1,1360.44,,137.0,442.08,1
434,298.0,308.6,1394.94,42.6,54.0,474.06,1
435,300.5,311.9,1365.85,41.8,205.0,371.66,0
436,298.9,310.6,1276.53,43.8,,621.95,0
437,298.6,310.1,1430.67,,15.0,560.97,1
438,302.5,310.3,1296.58,44.0,146.0,657.61,0
439,300.3,309.6,1166.33,52.4,,479.16,1
440,297.8,,1350.9,40.1,166.0,546.36,0
441,302.3,311.4,1362.19,34.7,75.0,549.85,0
442,299.0,310.3,1488.94,33.6,67.0,618.73,1
443,297.4,308.6,1298.92,41.2,197.0,537.96,0
444,298.9,309.8,1211.66,53.7,71.0,488.05,0
445,299.8,309.1,1424.18,35.4,205.0,461.78,0
446,,310.8,1405.56,34.1,150.0,566.18,0
447,300.7,309.6,1197.29,54.3,80.0,594.71,0
448,297.5,309.3,1516.51,29.8,72.0,615.9,1
449,301.3,310.6,1357.44,36.3,166.0,558.62,0
450,295.6,306.2,1469.31,31.2,131.0,540.87,0
451,302.4,310.9,1331.11,39.6,86.0,443.64,0
452,297.5,309.2,1405.51,40.0,206.0,546.44,0
453,300.9,310.8,1334.21,38.4,,596.2,0
454,299.6,309.4,1459.17,29.8,142.0,618.55,0
455,300.3,311.7,1356.56,37.5,5.0,606.47,0
456,301.6,310.9,1424.66,40.2,191.0,477.06,0
457,302.1,311.4,1420.38,35.9,104.0,562.64,0
458,300.1,309.2,1375.53,37.0,101.0,579.64,0
459,302.3,311.5,1358.09,38.2,47.0,546.28,0
460,300.8,311.2,1255.35,39.1,82.0,441.51,0
461,301.3,310.5,1244.6,45.8,63.0,375.91,0
462,300.2,311.6,1340.09,47.5,146.0,580.06,0
463,302.0,310.5,1130.4,60.6,90.0,674.52,0
464,303.5,312.8,1226.97,55.8,84.0,370.14,0
465,301.0,310.6,1486.67,33.4,12.0,621.03,0
466,299.6,310.2,1225.41,60.5,13.0,295.06,0
467,300.2,,1483.63,28.8,92.0,657.38,0
468,302.8,311.0,1414.01,38.5,85.0,469.2,0
469,302.3,,1208.34,54.0,119.0,571.85,0
470,298.3,308.9,1153.84,,44.0,599.26,0
471,298.8,310.0,1167.41,,74.0,459.6,1
472,297.9,307.8,1155.52,59.3,75.0,449.62,0
473,298.1,307.8,1423.57,33.0,130.0,707.29,0
474,299.0,310.3,1667.55,28.0,,644.65,0
475,299.1,,1245.24,44.7,170.0,430.32,0
476,299.2,308.6,1357.25,55.0,163.0,481.09,0
477,302.7,312.1,1334.44,36.0,191.0,429.73,1
478,297.5,308.3,1463.38,37.2,103.0,580.36,0
479,302.5,311.5,1318.84,41.1,215.0,341.1,0
480,298.8,309.5,1254.66,48.1,159.0,637.82,0
481,302.2,311.1,1240.02,53.7,140.0,528.09,0
482,298.1,308.0,1306.3,42.4,59.0,438.98,0
483,297.0,308.3,1256.17,46.4,132.0,519.78,1
484,300.2,311.7,1299.89,54.2,173.0,399.76,0
485,298.2,309.1,1486.31,28.8,186.0,488.23,1
486,303.9,313.0,1574.11,28.4,74.0,556.66,0
487,301.1,,1280.3,48.1,14.0,373.37,0
488,296.7,307.4,1412.89,32.5,182.0,405.54,0
489,297.8,309.3,2036.34,15.7,36.0,771.84,1
490,300.8,310.8,1391.91,36.2,,683.97,0
491,299.2,308.4,1372.7,22.7,86.0,597.61,1
492,300.0,310.2,1372.38,36.4,66.0,380.94,1
